label,area,convex_area,centroid-0,centroid-1,perimeter,axis_major_length,axis_minor_length,case_number
1,608.0,647.0,232.00986842105263,271.88157894736844,102.08326112068524,39.51783575516477,20.190122290720467,009
2,84.0,90.0,225.96428571428572,111.78571428571429,33.31370849898476,11.088357958372347,10.080999408764868,009
3,154.0,162.0,247.47402597402598,112.7987012987013,44.384776310850235,15.366838877421907,12.821697821873762,009
4,227.0,246.0,263.16299559471366,142.66079295154185,62.384776310850235,25.216765338229244,12.021209384180354,009
5,1683.0,1819.0,282.7171717171717,107.34878193701724,168.22539674441617,62.4711682461389,35.51357812381926,009
6,48.0,52.0,281.8125,148.3125,25.556349186104047,10.305567469237932,6.083059466281604,009
7,6984.0,7179.0,323.2258018327606,171.13244558991983,327.66399692442883,114.83038036427848,78.22687513632754,009
8,650.0,696.0,334.42,94.72153846153846,101.59797974644667,35.149746017633596,24.225891936169276,009
9,137.0,149.0,355.53284671532845,110.78832116788321,44.97056274847714,14.49627556215282,13.163198352710623,009
10,806.0,907.0,366.3995037220844,221.74565756823822,137.18376618407356,60.1123469519125,17.740588084392677,009
