label,area,convex_area,centroid-0,centroid-1,perimeter,axis_major_length,axis_minor_length,case_number
1,327.0,341.0,255.62996941896026,216.51987767584097,69.11269837220809,24.28686850557347,17.944184227827623,144
2,198.0,216.0,255.95454545454547,187.09595959595958,53.798989873223334,18.415086114905876,13.999176436390128,144
3,208.0,217.0,269.34615384615387,50.63942307692308,51.941125496954285,17.455275543587298,15.28726789977382,144
4,339.0,364.0,274.3333333333333,210.49557522123894,80.42640687119285,31.52025382153424,14.155872397306988,144
5,1571.0,1635.0,310.2100572883514,167.67982176957352,153.88225099390854,51.67711768455879,39.18566462162612,144
6,191.0,202.0,328.0471204188482,8.68586387434555,50.970562748477136,17.66870213440734,13.949926208254075,144
7,118.0,126.0,337.00847457627117,192.15254237288136,40.04163056034261,14.659291282188233,10.450181791321647,144
8,859.0,899.0,352.5529685681025,209.26426076833528,114.22539674441617,40.44116858987779,27.48065996495224,144
9,114.0,123.0,359.05263157894734,19.596491228070175,38.384776310850235,12.955587738512573,11.246589345042551,144
10,902.0,953.0,370.2971175166297,130.46452328159646,121.7401153701776,46.59227012268915,25.23140014534009,144
11,59.0,62.0,362.3050847457627,186.59322033898306,26.727922061357855,10.586241507479711,7.0924765072686915,144
12,267.0,280.0,373.6367041198502,172.67041198501872,59.79898987322333,19.306915062604993,17.909258803022755,144
