label,area,convex_area,centroid-0,centroid-1,perimeter,axis_major_length,axis_minor_length,case_number
1,131.0,142.0,199.63358778625954,354.99236641221376,43.21320343559643,16.30260120065123,10.39890397504296,109
2,194.0,217.0,282.0773195876289,305.5,64.87005768508881,28.602411712802915,9.211836814933799,109
3,205.0,228.0,290.2439024390244,299.5609756097561,69.11269837220809,31.305803655008017,8.662154217845673,109
4,417.0,439.0,303.4556354916067,264.0719424460432,82.18376618407356,32.56925855740262,16.606377692621965,109
5,86.0,93.0,299.24418604651163,299.98837209302326,41.79898987322333,18.918728122060273,5.899148439538605,109
6,207.0,215.0,325.20772946859904,279.6231884057971,58.142135623730944,25.36468681494316,10.502767625005625,109
7,142.0,150.0,329.8169014084507,313.78169014084506,46.8700576850888,19.072945900421043,9.629465351706466,109
8,95.0,103.0,329.87368421052633,327.2421052631579,35.9350288425444,14.07862299890324,9.01981923309381,109
9,390.0,423.0,369.24615384615385,254.34358974358975,83.11269837220809,32.00320239850975,16.459220423921312,109
10,79.0,83.0,375.126582278481,303.873417721519,31.899494936611664,12.113746868303593,8.382325799515476,109
