label,area,convex_area,centroid-0,centroid-1,perimeter,axis_major_length,axis_minor_length,case_number
1,108.0,115.0,247.21296296296296,77.64814814814815,37.798989873223334,13.15170321263785,10.633296580059419,081
2,85.0,95.0,251.0235294117647,60.98823529411764,34.72792206135786,12.997344290711764,8.628221370506212,081
3,61.0,64.0,258.9672131147541,44.57377049180328,27.071067811865476,10.39122350084462,7.477847358071309,081
4,57.0,61.0,261.0877192982456,83.21052631578948,26.384776310850235,8.975582548589376,8.225526938355484,081
5,79.0,81.0,261.46835443037975,116.07594936708861,30.14213562373095,10.334517788023417,9.734490854172753,081
6,35.0,37.0,261.25714285714287,24.17142857142857,20.48528137423857,8.115755481936437,5.558062969940768,081
7,20.0,24.0,261.15,32.15,15.242640687119284,6.511130540958731,4.205375022348715,081
8,114.0,119.0,264.7105263157895,168.43859649122808,38.14213562373095,13.58980229157963,10.971434161075544,081
9,99.0,109.0,269.16161616161617,126.34343434343434,36.970562748477136,11.902115711612549,10.900571061377152,081
10,20.0,21.0,266.1,105.95,14.242640687119284,6.23197079847183,4.020266156238213,081
11,568.0,599.0,276.11267605633805,40.605633802816904,92.18376618407356,30.886487322951126,24.125455368611206,081
12,33.0,37.0,269.09090909090907,149.24242424242425,20.485281374238568,8.530224206894783,5.055360596045301,081
13,34.0,35.0,268.79411764705884,19.38235294117647,19.65685424949238,8.563372707571745,5.029752047236774,081
14,47.0,50.0,271.48936170212767,89.44680851063829,23.31370849898476,8.977547722733817,6.6680536694005434,081
15,56.0,59.0,272.44642857142856,176.03571428571428,27.899494936611664,10.718891999147544,6.961867508691179,081
16,36.0,38.0,273.0,114.33333333333333,20.242640687119284,7.243129912124156,6.462142933912444,081
17,113.0,123.0,281.8053097345133,124.16814159292035,39.79898987322333,14.156911723609317,10.42847662075276,081
18,106.0,113.0,279.04716981132077,142.38679245283018,37.55634918610404,14.386100199486135,9.4273505138548,081
19,37.0,39.0,279.86486486486484,65.16216216216216,21.449747468305834,8.113749888340738,6.137617601342177,081
20,46.0,48.0,279.80434782608694,84.65217391304348,22.48528137423857,7.969521580454382,7.34428496314527,081
21,70.0,74.0,282.9428571428571,176.31428571428572,29.31370849898476,11.180188225544802,8.02847759328499,081
22,55.0,59.0,288.1454545454545,79.52727272727273,25.899494936611667,10.177380576847996,6.9175378244484405,081
23,190.0,208.0,293.1,224.0421052631579,55.35533905932738,20.10580131354357,12.907360955544267,081
24,307.0,321.0,295.214983713355,62.37459283387622,65.79898987322332,21.929421701065444,18.264039603364658,081
25,166.0,171.0,291.82530120481925,107.82530120481928,47.31370849898476,16.68659419330016,12.98387248931991,081
26,57.0,59.0,297.56140350877195,40.89473684210526,26.485281374238568,10.210088419448722,7.303495347965677,081
27,278.0,292.0,306.8093525179856,126.60071942446044,63.59797974644667,21.512550092563057,17.059527711994516,081
28,129.0,134.0,309.86821705426354,38.10077519379845,41.55634918610404,15.887297376603328,10.503152603551662,081
29,191.0,201.0,315.6649214659686,99.60732984293193,51.31370849898475,18.469353345622494,13.507478229040371,081
30,73.0,79.0,314.013698630137,181.12328767123287,31.142135623730947,12.115405170060171,7.73788518374303,081
31,132.0,143.0,315.7348484848485,60.34090909090909,42.384776310850235,13.992639576730776,12.309536085113534,081
32,644.0,668.0,325.5807453416149,286.88198757763973,99.9827560572969,38.67689620635751,21.48161988687202,081
33,39.0,42.0,315.84615384615387,77.05128205128206,21.071067811865476,8.334881706279363,5.927445669306422,081
34,31.0,33.0,319.83870967741933,45.70967741935484,19.071067811865476,7.996115820307335,5.013582866753071,081
35,156.0,163.0,324.6794871794872,263.53846153846155,45.45584412271571,14.458097680305261,14.13719172615239,081
36,3090.0,3392.0,361.2854368932039,88.75631067961164,232.79393923933998,83.10605729053835,49.96161038289821,081
37,41.0,42.0,321.390243902439,186.9512195121951,22.14213562373095,8.924332164494466,5.9778956602013205,081
38,372.0,391.0,339.19354838709677,108.74462365591398,74.8700576850888,27.48056810529824,17.444019241438987,081
39,378.0,397.0,339.36507936507934,170.82010582010582,76.2842712474619,27.132623940108747,17.958388951064244,081
40,248.0,263.0,341.85887096774195,25.524193548387096,60.384776310850235,19.311899785638722,16.669846228671492,081
41,47.0,49.0,338.29787234042556,129.4255319148936,23.31370849898476,9.142182767812383,6.544235098672396,081
42,23.0,25.0,342.7826086956522,136.8695652173913,15.65685424949238,6.347124227659383,4.61458062052334,081
43,55.0,58.0,352.6,136.5090909090909,25.31370849898476,8.698741406885066,8.123346443447764,081
44,26.0,27.0,355.1923076923077,120.73076923076923,17.31370849898476,7.443314166123711,4.514870593151348,081
45,27.0,28.0,359.2962962962963,16.37037037037037,17.31370849898476,6.979082796967311,4.97292560239513,081
46,63.0,67.0,361.46031746031747,285.0,29.31370849898476,11.27462528869209,7.561421139822501,081
47,21.0,24.0,362.85714285714283,123.85714285714286,15.65685424949238,6.510394927360246,4.232502524239428,081
48,79.0,83.0,369.69620253164555,15.49367088607595,30.970562748477143,10.80198364975814,9.443600692049111,081
49,160.0,169.0,371.7375,141.04375,47.798989873223334,16.37290425471345,12.856705692594277,081
50,149.0,157.0,372.23489932885906,269.26174496644296,44.72792206135785,15.385907436287903,12.59405727512325,081
51,96.0,101.0,373.59375,28.375,34.970562748477136,12.01767496434984,10.32076531971212,081
52,154.0,161.0,374.96753246753246,287.7857142857143,47.55634918610404,19.08277644768519,10.522948567576075,081
53,37.0,41.0,375.0,51.86486486486486,21.071067811865476,7.816976787310034,6.063402674476634,081
54,40.0,43.0,384.6,49.325,21.899494936611664,8.505949375970324,6.0496962910075105,081
55,83.0,85.0,389.50602409638554,33.433734939759034,31.556349186104043,11.50382595427325,9.32031433377588,081
56,49.0,51.0,389.0816326530612,142.30612244897958,23.656854249492383,8.724538334289932,7.159331336738015,081
57,75.0,77.0,392.18666666666667,8.133333333333333,29.556349186104043,11.118637746504936,8.598484698273298,081
58,77.0,78.0,391.76623376623377,184.71428571428572,30.485281374238568,11.547901904984213,8.597676323614413,081
